Представление,Основной контакт,ЭДО,Основные сведения
ТК ПРОМСТРОЙМОНТАЖ ООО,Грибанов Артем Андреевич,1,"ООО ""ТК ПРОМСТРОЙМОНТАЖ""
ИНН 6685016867
КПП 668501001
ОГРН 1126685024036
620912, Свердловская обл, г. Екатеринбург, пр-д Горнистов, дом 1Б, литер А, офис 21
620912, Свердловская обл, г. Екатеринбург, пр-д Горнистов, дом 1Б, литер А, офис 21
Грибанов Артем Андреевич
Ерохин Андрей"
ТК РУС.БОЛТ ООО,Голубев Владимир Юрьевич,1,"ООО ""ТК РУС.БОЛТ""
ИНН 6312128141
КПП 631201001
ОГРН 1136312004620
info@rusbolt.biz
+7(846)931-04-24
443109, Самарская обл, Самара г, Зубчаниновка п, Товарная ул, дом № 5, комната 9
443109, Самарская обл, Самара г, Зубчаниновка п, Товарная ул, дом № 5, комната 9
Голубев Владимир Юрьевич


Голубев Владимир Юрьевич
Администратор"
ТК РУСГИДРО АО,Киров Андрей Анатольевич,,"АО ""ТК РУСГИДРО""
ИНН 1902018248
КПП 190201001
ОГРН 1031900676356
NepeinaAA@rushydro.ru
+74232469707
655619, Республика Хакасия, г. Саяногорск, рп. Черемушки, дом 101
655619, Республика Хакасия, г. Саяногорск, рп. Черемушки, дом 101
Киров Андрей Анатольевич
Медведев Алексей Георгиевич"
ТК СЕРВИС ООО,,1,"ООО ТК СЕРВИС
ИНН 5024100941
КПП 770301001
info@proff-comfort.ru
8(495)9880708
123022, Москва г, вн.тер.г. муниципальный округ Пресненский, ул 2-я Звенигородская, д. 13, стр. 36, помещ. 1
Васильев Игорь Дмитриевич"
ТК СИБТАРА ООО,Михайлова Вера Ивановна,1,"ООО "" ТК СИБТАРА ""
ИНН 2465097599
КПП 246201001
ОГРН 1062465004612
660031, Красноярский край, Красноярск г, Глинки ул, дом 17 ""Б""
660031, Красноярский край, Красноярск г, Глинки ул, дом 17 ""Б""


Михайлова Вера Ивановна
Администратор"
Ткачев Андрей Александрович,Ткачев Андрей Александрович,1,"Ткачев Андрей Александрович
Ерохин Андрей"
Т-КОМ ООО,Харьков Андрей Владиславович,1,"ООО ""Т-КОМ""
ИНН 7743177628
КПП 774301001
ОГРН 5167746211694
shop.tkom@mail.ru
+7(495)744-33-82
125414, Москва г, ул. Клинская, дом 6, помещение 36, офис 125Б, этаж 1
125414, Москва г, ул. Клинская, дом 6, помещение 36, офис 125Б, этаж 1
Харьков Андрей Владиславович
Прыткина Анна Николаевна"
ТЛС ООО,Гербер Александр Викторович,1,"ООО ""ТЛС""
ИНН 2460099049
КПП 246001001
ОГРН 1162468114896
660075, Красноярский край, Красноярск г, Железнодорожников ул, дом 17, офис 208/2
660075, Красноярский край, Красноярск г, Железнодорожников ул, дом 17, офис 208/2
Гербер Александр Викторович
Ерохин Андрей"
ТНГ ООО,Коровякин Сергей Владимирович,,"ООО ""ТНГ""
ИНН 2465267561
КПП 246501001
ОГРН 1122468009212
660131, Красноярский край, Красноярск г, Ястынская ул, дом 15, 132
660131, Красноярский край, Красноярск г, Ястынская ул, дом 15, 132
Коровякин Сергей Владимирович
Сезнева Ирина"
ТНМК ООО,Кобзев Денис Леонидович,1,"ООО ""ТНМК""
ИНН 6686085239
КПП 668501001
ОГРН 1169658108179
info@tnmk-24.ru
+7(800)777-30-97 
620075, Свердловская обл, г. Екатеринбург, ул. Малышева, строение 51, этаж 15, офис 1605
620075, Свердловская обл, г. Екатеринбург, ул. Малышева, строение 51, этаж 15, офис 1605
Кобзев Денис Леонидович
Прыткина Анна Николаевна"
ТНТ ЭКСПРЕСС УОРЛДУАЙД (СНГ) ООО,Петржелка Камиль,1,"ООО ""ТНТ ЭКСПРЕСС УОРЛДУАЙД (СНГ)""
ИНН 7743003117
КПП 773401001
ОГРН 1027700179869
Larisa.Butovskaya@fedex.com
ru.einvoicing@tnt.com
+7 (495) 7972763
123458, Москва г, Лыковская 2-Я ул, дом 63СТР10
123458, Москва г, Лыковская 2-Я ул, дом 63СТР10
Петржелка Камиль
Администратор"
Товарищество с ограниченной ответственностью «Фермер 2002»,,1,"Товарищество с ограниченной ответственностью «Фермер 2002»
too_fermer_2002@mail.ru
8 (716-41) 27-6-70
020320 Казахстан, РК, Акмолинская область, Астраханский район, с. Первомайка, улица РТС, д. 46.
020320 Казахстан, РК, Акмолинская область, Астраханский район, с. Первомайка, улица РТС, д. 46.
Лысенков Владимир Николаевич"
ТОВАРЫ ДЛЯ ДОМА ООО,Замятин Максим Федорович,1,"ООО ""ТОВАРЫ ДЛЯ ДОМА""
ИНН 5405006578
КПП 540501001
ОГРН 1175476084332
630083, Новосибирская обл, Новосибирск г, Большевистская ул, дом № 131, офис 87


Замятин Максим Федорович
Администратор"
ТОВАРЫ ОТЕЧЕСТВА ООО,Тюрин Александр Александрович,1,"ООО ""ТОВАРЫ ОТЕЧЕСТВА""
ИНН 1831171014
КПП 183101001
ОГРН 1151831000606
426000, Удмуртская Респ, Ижевск г, Карла Маркса ул, дом 433, квартира 9
426000, Удмуртская Респ, Ижевск г, Карла Маркса ул, дом 433, квартира 9
Тюрин Александр Александрович
Администратор"
Токарев Евгений Геннадьевич ИП,,1,"ИП Токарев Евгений Геннадьевич
ИНН 246000609644
ОГРН ИП 309244330200011
Свидетельство 24 005126915
660011
+73912050901
660011, Красноярский край, г.о. город Красноярск, г Красноярск, ул Благодатная, Дом 26ж
Калинин Дмитрий Владимирович"
Токарь Александр Сергеевич,,1,"Токарь Александр Сергеевич
Документ Паспорт¶Серия номер: 2509 103543¶Выдан: Отделом УФМС России по Иркутской области в гор.Братске и Братском р-не. ¶Дата выдачи:07.11.2008¶Код подразделения 380-010
89501225222
Иркутская область, г.Братск, ул.Спасская д.7. 
Молчанов Семен Сергеевич"
Томашевская Светлана Павловна,,1,Томашевская Светлана Павловна
ТОН ООО,Качкаев Евгений Борисович,,"ООО ""ТОН""
ИНН 2465222955
КПП 246501001
ОГРН 1092468023669
660077, Красноярский край, г.о. Город Красноярск, г Красноярск, ул Алексеева, дом 49, помещение 84 ОФИС 7-06
660077, Красноярский край, г.о. Город Красноярск, г Красноярск, ул Алексеева, дом 49, помещение 84 ОФИС 7-06
Качкаев Евгений Борисович
Ерохин Андрей Сергеевич"
ТОНЕР24 ООО,Король Сергей Владимирович,,"ООО ""ТОНЕР24""
ИНН 2465153170
КПП 246501001
ОГРН 1162468108813
660022, Красноярский край, Красноярск г, Партизана Железняка ул, дом 32, помещение 185
660022, Красноярский край, Красноярск г, Партизана Железняка ул, дом 32, помещение 185
Король Сергей Владимирович
Администратор"
Тонких Надежда Викторовна ИП,,1,"ИП Тонких Надежда Викторовна
ИНН 246008874588
Поздняков Евгений"
Тонких Сергей Владимирович,,1,"ИП Тонких Сергей Владимирович
ИНН 251700064810
ОГРН ИП 310253802800046
Свидетельство 25 003560094
Клешнина Ольга Васильевна"
"ТОО КОЛЕСА ИИН 970440003326 Республика Казахстан, г.Алматы, ул.Шевченко 157/4 р/с KZ11722S000000707",,1,"ТОО КОЛЕСА ИИН 970440003326 Республика Казахстан, г.Алматы, ул.Шевченко 157/4 р/с KZ11722S000000707841 в Kaspi Bank АО, г.Алматы, Казахстан
Регистрационный номер 970440003326
Алматы, Шевченко, д. 157/4
Администратор"
ТОПАЛ ООО,Надточий Артем Сергеевич,,"ООО ""ТОПАЛ""
ИНН 2466238468
КПП 246601001
ОГРН 1112468015560
660048, Красноярский край, Красноярск г, 2-Я Брянская ул, дом 4, помещение 4-08
660048, Красноярский край, Красноярск г, 2-Я Брянская ул, дом 4, помещение 4-08


Надточий Артем Сергеевич
Шестаков Дмитрий"
Топалян Армен Тариелович,,1,"ИП Топалян Армен Тариелович
ИНН 246009980525
ОГРН ИП 313246829400094
Свидетельство 24 006239029
Кладовщик"
ТОПС БИЗНЕС ИНТЕГРАТОР ООО,Чибисов Геннадий Иванович,1,"ООО ""ТОПС БИЗНЕС ИНТЕГРАТОР""
ИНН 7703283933
КПП 770101001
ОГРН 1027700000536
105082, город Москва, вн.тер. г. Муниципальный Округ Басманный, ул Большая Почтовая, дом 26, строение 1, эт/пом/ком 6/I/2Б
105082, город Москва, вн.тер. г. Муниципальный Округ Басманный, ул Большая Почтовая, дом 26, строение 1, эт/пом/ком 6/I/2Б
105082, город Москва, вн.тер. г. Муниципальный Округ Басманный, ул Большая Почтовая, дом 26, строение 1, эт/пом/ком 6/I/2Б
Чибисов Геннадий Иванович
Клешнина Ольга Васильевна"
ТОР ООО,Мамочкин Андрон Алексеевич,1,"ООО ""ТОР""
ИНН 2465179989
КПП 241101001
ОГРН 1182468025992
660015, Красноярский Край, м.р-н Емельяновский, с.п. Солонцовский Сельсовет, п Солонцы, пр-кт Котельникова, строение 34/1, помещение 4/1
660015, Красноярский Край, м.р-н Емельяновский, с.п. Солонцовский Сельсовет, п Солонцы, пр-кт Котельникова, строение 34/1, помещение 4/1
Мамочкин Андрон Алексеевич
Прыткина Анна Николаевна"
Торгашев Сергей Евгеньевич ИП,,1,"ИП Торгашев Сергей Евгеньевич
ИНН 246412389814
ОГРН ИП 311246818500302
Клешнина Ольга Васильевна"
ТОРГИ-ОНЛАЙН ООО,Шарафутдинова Алсу Альфатовна,1,"ООО ""ТОРГИ-ОНЛАЙН""
ИНН 0276944133
КПП 027401001
ОГРН 1190280048419
450022, Республика Башкортостан, г.о. Город Уфа, г Уфа, ул Менделеева, дом 134/7, помещение 159
450022, Республика Башкортостан, г.о. Город Уфа, г Уфа, ул Менделеева, дом 134/7, помещение 159
Шарафутдинова Алсу Альфатовна
Клешнина Ольга Васильевна"
ТОРГОВОЕ ОБОРУДОВАНИЕ ООО,Наугольных Олег Юрьевич,,"ООО ""ТОРГОВОЕ ОБОРУДОВАНИЕ""
ИНН 2466232258
КПП 246501001
ОГРН 1102468038750
303@2531111.ru
660022, Красноярский край, г Красноярск, ул Партизана Железняка, дом 18, ПОМЕЩЕНИЕ П-1(ПОМ.12) КОМНАТЫ 60,61,62
+7 (391) 2531111
660022, Красноярский край, г Красноярск, ул Партизана Железняка, дом 18, ПОМЕЩЕНИЕ П-1(ПОМ.12) КОМНАТЫ 60,61,62
660022, Красноярский край, г Красноярск, ул Партизана Железняка, дом 18, ПОМЕЩЕНИЕ П-1(ПОМ.12) КОМНАТЫ 60,61,62


Наугольных Олег Юрьевич
Поздняков Евгений"
"Торговый дом ""АкваТехКрасноярск ООО",Назарова Анастасия Станиславовна,1,"ООО Торговый дом ""АкваТехКрасноярск""
ИНН 2463237949
КПП 246301001
ОГРН 1122468031630
2511464
660041, Красноярский край, Красноярск г, Свободный пр-кт, дом № 75-""А"", квартира 82


Назарова Анастасия Станиславовна
Альбах Марина"
Торговый Дом СЕВЕР ООО,,1,"ООО ""Торговый Дом СЕВЕР""
Носкова Наталья Владимировна"
ТОРГОВЫЙ ПРОЕКТ ООО,Наугольных Олег Юрьевич,1,"ООО ""ТОРГОВЫЙ ПРОЕКТ""
ИНН 2465275001
КПП 246501001
ОГРН 1122468037834
660022, Красноярский край, Красноярск г, Партизана Железняка ул, дом № 18, помещение П-1
660022, Красноярский край, Красноярск г, Партизана Железняка ул, дом № 18, помещение П-1
Наугольных Олег Юрьевич
Администратор"
ТоргОптСтрой ООО,,1,"ООО ""ТоргОптСтрой""
ИНН 2540190529"
ТОРГСНАБ ООО,,1,"ООО ""ТОРГСНАБ""
ИНН 3702001201
КПП 370201001
ОГРН 1153702000100
153005, Ивановская обл, Иваново г, Шошина ул, дом № 15, квартира 93
153005, Ивановская обл, Иваново г, Шошина ул, дом № 15, квартира 93"
Торенс ООО,,1,"ООО ""Торенс""
ИНН 5403349989
kolyantorens@mail.ru что и Орион 630088 ,г.Новосибирск , а/я 240 o.lozovik@torens-auto.com бухгалтер
73832391750,83832105118 доп201
630079, г. Новосибирск, Северный проезд, д. 3, кор.2
630079, г. Новосибирск, Северный проезд, д. 3, кор.2"
Торосян Давид Нодарович,Торосян Давид Нодарович,1,"Документ Паспорт: 98 15 № 595935¶Выдан: МП в гор. Удачный МРО УФМС России по республике Саха (Якутия) в Мирнинском районе¶Дата выдачи: 19.08.2015г.¶Адрес регистрации: Республика Саха (Якутия), Мирнинский р-он, г.Удачный, ул. Новый город № 13, кв. 127
Торосян Давид Нодарович
+7 (924) 3678777
Захаров Михаил"
ТОЧНАЯ МЕХАНИКА,,1,"ТОЧНАЯ МЕХАНИКА 
ИНН 2466287602
КПП 246601001
Поздняков Евгений"
Тошматов Хуршед Саиджонович,,1,"ИП Тошматов Хуршед Саиджонович
ИНН 500806490153
ОГРН ИП 316504700071789
Свидетельство 50 014123329
info@trikatushki.ru
8-925-064-55-51
Прыткина Анна Николаевна"
ТПК МАНОМЕТР ООО,Пономарев Максим Игоревич,1,"ООО ""ТПК ""МАНОМЕТР""
ИНН 7017397759
КПП 701701001
ОГРН 1167031055245
634061, Томская обл, Томск г, Вершинина ул, дом № 9
634061, Томская обл, Томск г, Вершинина ул, дом № 9


Пономарев Максим Игоревич
Администратор"
ТПК СТЕРБРУСТ ООО,Ганюков Дмитрий Родионович,1,"ООО ""ТПК СТЕРБРУСТ""
ИНН 5262340660
КПП 526201001
ОГРН 1165275036915
+7(930)7153477
603098, г. Нижний Новгород, ул. Артельная, д. 31, помещение 14
603098, Нижегородская обл, Нижний Новгород г, Артельная ул, дом № 31, помещение 14


Ганюков Дмитрий Родионович
Администратор"
ТРАКГАРАЖ ООО,Папуцкий Вячеслав Дмитриевич,,"ООО ""ТРАКГАРАЖ""
ИНН 7814822570
КПП 781401001
ОГРН 1237800052929
89522891946
197345, Город Санкт-Петербург, вн.тер. г. Муниципальный Округ № 65, ул Мебельная, дом 11, литера В
197345, Город Санкт-Петербург, вн.тер. г. Муниципальный Округ № 65, ул Мебельная, дом 11, литера В
Папуцкий Вячеслав Дмитриевич
Ковалёв Михаил"
ТРАМПСЕРВИС ООО,,1,"ООО ""ТРАМПСЕРВИС""
ИНН 2540194883
690063, Владивосток, ул. З.Космодемьянской, 19а office5@1000size.ru
690063, Владивосток, ул. З.Космодемьянской, 19а
660091, Владивосток, ул. Семеновская, д.3А"
ТРАНЗИТ ООО,Чуркин Павел Викторович,,"ООО ""ТРАНЗИТ""
ИНН 2540132492
КПП 254001001
ОГРН 1072540005273
690065, Приморский край, г.о. Владивостокский, г Владивосток, ул Крыгина, дом 40
690065, Приморский край, г.о. Владивостокский, г Владивосток, ул Крыгина, дом 40
Чуркин Павел Викторович
Сотникова Татьяна Викторовна"
ТРАНЗИТ-АВИА ООО,Баталыгин Виктор Николаевич,,"ООО ""ТРАНЗИТ-АВИА""
ИНН 7006008369
КПП 700601001
ОГРН 1087030001080
ОКПО 88202065
tranzit-avia2018@yandex.ru
636740, Томская область, р-н Каргасокский, с Новый Васюган, пер Сосновый, Дом 26
+8 (38253) 29777
636740, Томская область, р-н Каргасокский, с Новый Васюган, пер Сосновый, Дом 26
636740, Томская обл, м.р-н Каргасокский, с Новый Васюган, пер Сосновый, д. 26
Баталыгин Виктор Николаевич
Бакулин Александр"
ТРАНЗИТ-ТК ООО,Маташов Алексей Александрович,,"ООО ""ТРАНЗИТ-ТК""
ИНН 2460099578
КПП 246001001
ОГРН 1162468120396
660058, Красноярский край, Красноярск г, Ломоносова ул, дом № 70


Маташов Алексей Александрович
Администратор"
ТРАНСАВТО ООО,Базгутдинов Фаиль Фанилевич,,"ООО ""ТРАНСАВТО""
ИНН 1656079976
КПП 165601001
ОГРН 1141690076330
zmg2015@mail.ru
(843) 514-01-13
420032, Республика Татарстан (Татарстан), г. Казань, ул. Гладилова, дом 53, офис 1
420032, Республика Татарстан (Татарстан), г. Казань, ул. Гладилова, дом 53, офис 1
Базгутдинов Фаиль Фанилевич
Володько Антон"
ТРАНСКОМПЛЕКТ ООО,Болсуновский Вячеслав Викторович,,"ООО ""ТРАНСКОМПЛЕКТ""
ИНН 2465229911
КПП 246501001
ОГРН 1092468053468
gPetrov@tpm.ru
660118, Красноярский край, г. Красноярск, ул. Полигонная, дом ЗД 8/2
+7(800) 222-06-08
660118, Красноярский край, г. Красноярск, ул. Полигонная, дом ЗД 8/2
660118, Красноярский край, г. Красноярск, ул. Полигонная, дом ЗД 8/2
Болсуновский Вячеслав Викторович"
ТРАНСКОНТЕЙНЕР ПАО,Баскаков Петр Васильевич,1,"ПАО ""ТРАНСКОНТЕЙНЕР""
ИНН 7708591995
КПП 771001001
ОГРН 1067746341024
125047, Москва г, Оружейный пер, дом № 19


Баскаков Петр Васильевич
Администратор"
ТРАНСЛАЙН ООО,Гасанов Руслан Байрамович,1,"ООО ""ТРАНСЛАЙН""
ИНН 7839475689
КПП 672201001
ОГРН 1137847073968
215119, Смоленская обл, р-н Вяземский, г. Вязьма, ул. Песочная, дом 12, офис 1
215119, Смоленская обл, р-н Вяземский, г. Вязьма, ул. Песочная, дом 12, офис 1
Гасанов Руслан Байрамович
Ерохин Андрей"
ТРАНСМИССИЯ ООО,Шпагин Александр Владимирович,,"ООО ""ТРАНСМИССИЯ""
ИНН 7806410598
КПП 780601001
ОГРН 1097847130149
195248, Санкт-Петербург г, Революции ш, дом 84, литер З, П.3-Н
195248, Санкт-Петербург г, Революции ш, дом 84, литер З, П.3-Н


Шпагин Александр Владимирович
Сезнева Ирина"
ТРАНСМИССИЯ ООО ТПК,Аренин Александр Александрович,1,"ООО ТПК ""ТРАНСМИССИЯ""
ИНН 5256153206
КПП 525601001
ОГРН 1165275019876
603053, Нижегородская обл, Нижний Новгород г, Бусыгина пр-кт, дом № 32, квартира 42
603053, Нижегородская обл, Нижний Новгород г, Бусыгина пр-кт, дом № 32, квартира 42
Аренин Александр Александрович"
ТРАНСПОРТНО-ЭКСПЕДИЦИОННАЯ СЕТЬ ВЛАДИВОСТОК ООО,Болдырева Алина Александровна,1,"ООО ""ТРАНСПОРТНО-ЭКСПЕДИЦИОННАЯ СЕТЬ ВЛАДИВОСТОК""
ИНН 2537136419
КПП 253701001
ОГРН 1182536014650
690021, Приморский край, Владивосток г, Запорожская ул, дом 77, офис 611-В
690021, Приморский край, Владивосток г, Запорожская ул, дом 77, офис 611-В


Болдырева Алина Александровна
Яковлева Екатерина Ивановна"
ТРАНСПОРТНЫЕ ТЕХНОЛОГИИ ООО,Назаренко Сергей Александрович,1,"ООО ""ТРАНСПОРТНЫЕ ТЕХНОЛОГИИ""
ИНН 7816567478
КПП 782001001
ОГРН 1137847303395
196626, город Санкт-Петербург, п Шушары, пр-д 1-Й Бадаевский, дом 11СТР2, помещение 1
196626, город Санкт-Петербург, п Шушары, пр-д 1-Й Бадаевский, дом 11СТР2, помещение 1
Назаренко Сергей Александрович
Прыткина Анна Николаевна"
ТРАНСРЕСУРС ООО,Какайкин Антон Николаевич,1,"ООО ""ТРАНСРЕСУРС""
ИНН 3811183512
КПП 381101001
ОГРН 1143850042313
664050, Иркутская обл, Иркутск г, Маршала Жукова пр-кт, дом № 5/1, офис 34
664050, Иркутская обл, Иркутск г, Маршала Жукова пр-кт, дом № 5/1, офис 34
664050, Иркутская обл, Иркутск г, Маршала Жукова пр-кт, дом № 5/1, офис 34


Какайкин Антон Николаевич
Сезнева Ирина"
ТРАНССВЯЗЬТЕЛЕКОМ ООО,,,"ООО ""ТРАНССВЯЗЬТЕЛЕКОМ""
ИНН 2808015481
КПП 280801001
ОГРН 1022800774864
676290, Амурская область, г. Тында, ул. Красная Пресня, дом 47
676290, Амурская область, г. Тында, ул. Красная Пресня, дом 47
676290, Амурская область, г. Тында, ул. Красная Пресня, дом 47
Ощепков Андрей Сергеевич"
ТРАНССЕРВИС ООО,Пугачев Сергей Анатольевич,1,"ООО ""ТРАНССЕРВИС""
ИНН 2720051411
КПП 272001001
baa@wstruck.ru
+7 (4212) 459877
680539, Хабаровский край, р-н Хабаровский, с Тополево, ул Прогрессивная, д. 15
Пугачев Сергей Анатольевич
Прыткина Анна Николаевна"
ТРАНССТРОЙ ООО,Хачатрян Наири Мамиконович,1,"ООО ""ТРАНССТРОЙ""
ИНН 2463118170
КПП 246301001
ОГРН 1192468022823
660061, Красноярский край, Красноярск г, Цимлянская ул, дом 35Б, помещение 3
660061, Красноярский край, Красноярск г, Цимлянская ул, дом 35Б, помещение 3


Хачатрян Наири Мамиконович
Клешнина Ольга Васильевна"
ТРАНСТРЕЙД ООО,,1,"ООО ""ТРАНСТРЕЙД""
ИНН 2464239258
КПП 246501001
ОГРН 1112468070770
660127, Красноярский край, Красноярск г, Мате Залки ул, дом № 1, офис 308
660127, Красноярский край, Красноярск г, Мате Залки ул, дом № 1, офис 308
660127, Красноярский край, Красноярск г, Мате Залки ул, дом № 1, офис 308"
ТРАНСХОЛДИНГ ООО,Хвичия Заур Джемалович,1,"ООО ""ТРАНСХОЛДИНГ""
ИНН 2460112412
КПП 246001001
ОГРН 1192468009238
660048, Красноярский край, Красноярск г, Калинина ул, дом 17, квартира 181
660048, Красноярский край, Красноярск г, Калинина ул, дом 17, квартира 181
660048, Красноярский край, Красноярск г, Калинина ул, дом 17, квартира 181


Хвичия Заур Джемалович
Клешнина Ольга Васильевна"
Транс-Экспедиция ООО,,1,"ООО ""Транс-Экспедиция""
ИНН 2724081390
680014, Хабаровский край, г. Хабаровск, ул. Шкотова, д. 15, литера А
680014, Хабаровский край, г. Хабаровск, ул. Шкотова, д. 15, литера А"
ТРАСКО ООО,Шакалида Евгений Евгеньевич,,"ООО ""ТРАСКО""
ИНН 5024028131
КПП 502401001
ОГРН 1025002866470
+7 (495) 5648714
143420, Московская область, г.о. Красногорск, п Архангельское, тер. Музей Техники, строение 8
143420, Московская область, г.о. Красногорск, п Архангельское, тер. Музей Техники, строение 8


Шакалида Евгений Евгеньевич
Антигравий боди- польша поставка (Мультимодальные перевозки)
Сотникова Татьяна Викторовна"
ТРБТ ООО,Шарыпов Борис Георгиевич,1,"ООО ""ТРБТ""
ИНН 2536239651
КПП 253601001
ОГРН 1112536001874
690109, Приморский край, Владивосток г, Нейбута ул, дом № 33, квартира 186


Шарыпов Борис Георгиевич
Администратор"
ТРЕД МАРК ООО,Лобов Александр Николаевич,,"ООО ""ТРЕД МАРК""
ИНН 2463227404
КПП 246301001
ОГРН 1112468016682
buh@kealan.ru
info@kealan.ru
buh@kealan.ru
info@kealan.ru
buh@kealan.ru
info@kealan.ru
660074, Красноярский край, г.о. Город Красноярск, г Красноярск, ул Дачная, дом 35А, офис 131
+7 (391) 219-99-57
660074, Красноярский край, г.о. Город Красноярск, г Красноярск, ул Дачная, дом 35А, офис 131
660074, Красноярский край, г.о. Город Красноярск, г Красноярск, ул Дачная, дом 35А, офис 131
Лобов Александр Николаевич


Лобов Александр Николаевич
Кладовщик"
ТРЕЙД ООО,Гусаков Дмитрий Валерьевич,1,"ООО ""ТРЕЙД""
ИНН 7722320186
КПП 772201001
ОГРН 1157746219047
111024, Москва г, Авиамоторная ул, дом 50, строение 2, ПОМЕЩЕНИЕ XIКОМ 21
111024, Москва г, Авиамоторная ул, дом 50, строение 2, ПОМЕЩЕНИЕ XIКОМ 21


Гусаков Дмитрий Валерьевич
Сезнева Ирина"
ТРЕЙД ОСТ ООО,Венцкус Альгирдас Иозович,1,"ООО ""ТРЕЙД ОСТ""
ИНН 3808109220
КПП 385101001
ОГРН 1043801027841
kbf38@yandex.ru
(39554) 3-11-92
665401, Иркутская обл, Черемхово г, Маяковского ул, дом № 227
665401, Иркутская обл, Черемхово г, Маяковского ул, дом № 227
Венцкус Альгирдас Иозович
Сезнева Ирина"
ТРЕЙДАКОНС ООО,Бушнев Герман Викторович,,"ООО ""ТРЕЙДАКОНС""
ИНН 7734564941
КПП 502701001
ОГРН 5077746868854
140090, Московская обл, Дзержинский г, Дзержинское ш, дом 1, литера Б, офис 307
140090, Московская обл, Дзержинский г, Дзержинское ш, дом 1, литера Б, офис 307
Бушнев Герман Викторович
Администратор"
Трек-НН ТД ООО,,1,"ООО ""ТД ""Трек-НН""
ИНН 5258123126
КПП 525801001
sidorov_2002@mail.ru
8 (831) 220-96-74
603034, г. Нижний Новгород, ул. Усольская, д.54
603034, г. Нижний Новгород, ул. Усольская, д.54"
Третьяков Александр Анатольевич (Самозанятый),,1,"Третьяков Александр Анатольевич
ИНН 246403316288
660006, Красноярский край, г.о. город Красноярск, г Красноярск, ул Рощевая, Дом 36
Прыткина Анна Николаевна"
Третьяков Александр не исп.,,1,"Третьяков Александр
+79059708878
Ольховский Андрей Александрович"
Третьяков Анатолий Анатольевич ИП,,1,"ИП Третьяков Анатолий Анатольевич
ИНН 240800996342
tretakov885@gmail.com
8-908-204-3076
Шицко Александр Владимирович"
Третьяков Григорий Анатольевич ИП,,1,"ИП Третьяков Григорий Анатольевич
ИНН 240802777811
ОГРН ИП 322246800112078
Красноярский край, Мечникова, д. 11, офис 115
Красноярский край, Мечникова, д. 11, офис 115
Красноярский край, Мечникова, д. 11, офис 115
Прыткина Анна Николаевна"
Третьяков Кирилл Дмитриевич,,1,"ИП Третьяков Кирилл Дмитриевич
ИНН 143103124379
ОГРН ИП 316144700067950
Свидетельство 14 002195216"
ТРИАДА ООО,Ардамина Ирина Юрьевна,1,"ООО ""ТРИАДА""
ИНН 2466267765
КПП 246601001
ОГРН 1132468062088
660049, Красноярский край, г. Красноярск, ул. Конституции Ссср, дом 17, квартира 32
660049, Красноярский край, г. Красноярск, ул. Конституции Ссср, дом 17, квартира 32


Ардамина Ирина Юрьевна
Клешнина Ольга Васильевна"
Триал ООО,,1,"ООО ""Триал""
ИНН 2543025160"
ТРИАР ООО,Иванов Владислав Игоревич,,"ООО ""ТРИАР""
ИНН 2801158184
КПП 280101001
ОГРН 1112801000773
89098140857
675000, Амурская область, г. Благовещенск, ул. Лазо, дом 2, офис 210
675000, Амурская область, г. Благовещенск, ул. Лазо, дом 2, офис 210
Иванов Владислав Игоревич
Ковалёв Михаил"
ТРИНИТИ ООО,,,"ООО ""ТРИНИТИ""
ИНН 5257155742
КПП 525701001
ОГРН 1155257008807
603028, Нижегородская обл, Нижний Новгород г, Московское ш, дом № 288, помещение П4"
ТРИО ООО,Мельников Сергей Михайлович,1,"ООО ""ТРИО""
ИНН 5012100471
КПП 501201001
ОГРН 1195081055950
(495) 123-36-64
143980, Московская обл., Балашиха г., Пролетарская (железнодорожный Мкр.) ул., дом 47, квартира 61
143980, Московская обл., Балашиха г., Пролетарская (железнодорожный Мкр.) ул., дом 47, квартира 61
Мельников Сергей Михайлович
Дубинина Светлана Валерьевна"
ТРИТО ООО,Рудаков Сергей Григорьевич,,"ООО ""ТРИТО""
ИНН 7802689405
КПП 780201001
ОГРН 1197847097040
vasilenko@topholding.ru
+7 911 929-29-27
194362, Город Санкт-Петербург, п. Парголово, ул. Железнодорожная, дом 11, корпус 3, литер А, помещение 6Н, офис 4
194362, Город Санкт-Петербург, п. Парголово, ул. Железнодорожная, дом 11, корпус 3, литер А, помещение 6Н, офис 4
Рудаков Сергей Григорьевич
Калинин Дмитрий Владимирович"
ТРИФОНОВ АРТЁМ ВАЛЕРЬЕВИЧ,,1,"ТРИФОНОВ АРТЁМ ВАЛЕРЬЕВИЧ
Клешнина Ольга Васильевна"
ТРК ОЗЕРПАХ ООО,,1,"ООО ""ТРК ""ОЗЕРПАХ""
ИНН 2705094925
КПП 270501001
ОГРН 1142705000316
682434, Хабаровский край, Николаевский р-н, Озерпах п, Амурская ул, дом № 1, квартира 9
682434, Хабаровский край, Николаевский р-н, Озерпах п, Амурская ул, дом № 1, квартира 9"
